gɹæs	kɹas
βøsnæs	besnas
ɸuŋgɹɔs	pungɹɔs
nɹufɹuɹk	nɹʊfɹʊɹg
ɸoɹntsens	poɹntsens
liɹbsnoɹp	liɹpsnoɹb
fotpɸuɹt	fotpfuɹd
dɹetɢok	dɹetgog
quɹgsnæɹp	kʊɹgsnaɹp
ɹɔɹspyf	ɹɔɹspɪf
dɹotβɔf	tɹotbɔf
ɹufɸøk	ɹufpeg
siɹdɢuɹp	siɹtgʊɹb
ɹopsu	ɹopsʊ
bɹuɹsbɹodtæp	pɹuɹspɹodtab
zuɹgqufnes	dʊɹgkʊfnes
ɹufɸøɹlbɹuɹt	ɹʊfpeɹlbɹʊɹd
dɹæɹgɸuɹɣin	dɹaɹgpʊɹgɪn
ɹuɹlgæmɸɶɹt	ɹuɹlganpaɹt
tsɛgdɹudβœ	tsɛgdɹʊdbɛ
ubdɹupɢup	ubdɹʊpgub
gɹinsebɸuns	gɹinsebpʊns
sɹustzefptsiɹp	sɹʊstdefptsɪɹb
nigβɶdsɹiɹf	nigbadsɹɪɹf
gɹæɹddɹistdɹɔf	kɹaɹtdɹɪstdɹɔf
næɹdfɹofdæk	naɹdfɹofdag
gɹuftsuddæɹt	gɹʊftsuddaɹd
sɹɛbgɹegsnuɹt	sɹɛbgɹegsnuɹd
niɹdɸinsuɹt	nɪɹdpintuɹd
sɹænsliɹnsɹæl	sɹansliɹnsɹal
ɢugfɹæfɸɶk	gugfɹafpag
lɹebsnɛstsnop	lɹebsnɛstsnop
liɹlɹɛɹgnɹæns	lɪɹlɹɛɹgnɹans
nɹɛɹdɢɔɸøɹp	nɹɛɹdgɔpeɹp
qufpsnefpβɔɹp	kufpsnefpbɔɹp
bɹidsɹoɹlsip	pɹidsɹoɹltɪb
sɹɔɹβøɹsleɹk	sɹɔɹpeɹsleɹg
nænssniɹβøst	nanssnɪɹbest
dɹebɹiɹdbɹiɹ	tɹepɹiɹdpɹɪɹ
dæɹssɹuɹfɹɛp	daɹssɹʊɹfɹɛp
fɔzɔdsɹip	fɔdɔdsɹib
fɹiɹmβøtpɸɛp	fɹiɹnbetpfɛp
lɹuɹdlɹæɹlfæɹl	lɹuɹdlɹaɹlfaɹl
siɹbnɹæstdɹeɹp	sɪɹbnɹasttɹeɹp
ɔfbɹælsit	ɔfpɹaltɪt
gɹægɹifplɹæp	kɹakɹifplɹap
lomβɔgpɸons	lonbɔgpfons
gɹuɹlzɔɹdtsɔɹn	kɹuɹldɔɹdtsɔɹn
xɛɹspyɹdnɹæɹp	kɛɹspɪɹdnɹaɹb
sɹuɹbnɹækfɔp	sɹuɹpnɹakfɔb
gɹæɹlgɹipβuɹp	kɹaɹlkɹɪpbʊɹp
tsefpbybsɹuɹk	tsefpbɪbsɹuɹk
zɛgɹuɹbbɹiɹp	dɛgɹuɹbbɹiɹp
ɸɶsɹilæt	pasɹilad
nɹoɸɔɹdfæɹp	nɹopɔɹtfaɹp
sɔɹgpɸuɹdfɹek	sɔɹgpfuɹdfɹeg
snusɸøɹfbys	snuspeɹfbɪs
snuɹfdɹɔɹdɹiɹt	snuɹfdɹɔɹdɹɪɹd
zugdɹæɹlxip	dugtɹaɹlkɪp
nɹegsɹonsdɹo	nɹegsɹonstɹo
siɹbbɹɔgsnul	siɹbbɹɔgsnʊl
dɹispɸufpβɶp	dɹispfʊfpbab
ɢuɹgæɹdsefp	gʊɹgaɹdtefp
fekpɸikɢust	fekpfɪkgust
snɛɹddæpdɹɛɹ	snɛɹtdapdɹɛɹ
setgɹæɹbnɔɹf	setgɹaɹpnɔɹf
dɹupgɹæksneɹk	tɹʊpkɹaksneɹk
ɸuɹdfɹiɹlgɹa	pʊɹdfɹiɹlgɹa
zuɹfβiɹsɹɛs	duɹfbiɹsɹɛs
dɹofnobdɹeɹf	dɹofnobdɹeɹf
sɛɹbfɹeɹdtsæk	sɛɹbfɹeɹdtsag
byknɹeddɹiɹs	bɪknɹeddɹiɹs
nɹæklɹæɹgsɹæfp	nɹaklɹaɹksɹafp
snuɹbnɔsit	snuɹbnɔtit
fuggɹɔɹltsuɹl	fʊgkɹɔɹltsʊɹl
ɹeɹsuɹbnɹɔɹt	ɹeɹsʊɹpnɹɔɹd
gɹuɹsgɹofplɔɹp	gɹʊɹskɹofplɔɹp
nɹɛfsɹɔfsek	nɹɛfsɹɔfteg
iqɔlpɸoɹk	ikɔlpfoɹg
bɹugɹugɹufp	pɹugɹʊkɹufp
siɹgdɹænɔfp	tiɹgdɹanɔfp
fɹuɹnsɹɔdgɹup	fɹʊɹnsɹɔdkɹʊp
ɢuɹbdɹɛŋxɛɹp	guɹptɹɛnkɛɹb
ɔɹbnɹogtsep	ɔɹbnɹogtseb
βødɹizuns	bedɹɪdʊns
ɣeɹglupɸɹiɹt	geɹklʊpfɹiɹt
ɣiɹɣilgɹoɹk	giɹkilkɹoɹg
bɹeɹndɹugɹiɹk	bɹeɹntɹʊgɹɪɹk
snegdɹæɹgsen	snegtɹaɹgsen
ɹɔlbɹætsol	ɹɔlpɹatsol
dɹɛtɣiɸik	dɹɛtgipig
xiɹlɹæɹbzɛ	kɪɹlɹaɹpdɛ
nɹæsgɹufptsit	nɹaskɹufptsid
pɸæssiɹnɹiɹs	pfassiɹnɹiɹs
bɹinstæbza	pɹinstabda
ɛpsɹoszoɹs	ɛpsɹosdoɹs
aɹdɣɛsfit	aɹtgɛsfɪt
loɹdzoffun	loɹtdoffʊn
lænssɛɹbtæp	lanssɛɹptab
dɹosβuɹɣiɹp	dɹosbʊɹgiɹb
lɹɛgdɹudlɛl	lɹɛgdɹʊdlɛl
bɹuɹdbɹuɹzes	pɹuɹtbɹʊɹdes
liɹnlofpɸɹins	liɹnlofpfɹins
pɸɛdtæffɹik	pfɛdtaffɹig
siɹgzinsbɹuɹt	sɪɹkdɪnspɹʊɹt
ɔɹbkæstliɹf	ɔɹbkastliɹf
tsɔpbɹitɢut	tsɔppɹitgʊt
gɹeɹbnɛɹzist	gɹeɹpnɛɹdɪst
dɹeɹgtsæɹsdɹɛs	dɹeɹktsaɹstɹɛs
lɹæɹbbɹipdɹifp	lɹaɹbpɹɪpdɹɪfp
dɹiɹffɔggɹiɹt	tɹɪɹffɔgkɹɪɹt
supxeɹlfɹeɹf	supkeɹlfɹeɹf
dɹɔsɸøbsofp	dɹɔspebsofp
tsiplɛflɹeɹs	tsiplɛflɹeɹs
siɹbtsosɛt	sɪɹptsosɛd
xipsɹiɹblɹos	kipsɹɪɹblɹos
gɹuɸɔxɛns	kɹʊpɔkɛns
dɹɔɹlbɹiɹgsiɹp	dɹɔɹlbɹiɹgtiɹp
nɹeɹdβøsseɹs	nɹeɹdbesteɹs
bɹilosɹik	pɹɪlosɹɪg
sɹeɹdfikɣiɹn	sɹeɹtfikgɪɹn
nɹefpsosɸœɹn	nɹefpsospɛɹn
bynssuɹglɔɹ	bɪnssʊɹklɔɹ
nɛddɹɔsɛt	nɛdtɹɔtɛd
βuɹfβœbqoɹn	bʊɹfbɛbkoɹn
βœtɣidbɹiɹ	bɛtgɪdbɹiɹ
lɹoɹlɔɹgɹæɹn	lɹoɹlɔɹkɹaɹn
bɹæɹgnɹæɹɢok	bɹaɹgnɹaɹkok
fɹiŋqokβœɹp	fɹɪnkokbɛɹp
ɢugnɹinsxeɹf	gʊgnɹɪnskeɹf
dɹoɹdpɸɛɹntsiɹs	dɹoɹtpfɛɹntsiɹs
dɹogsnuɹbfɹɔf	dɹogsnʊɹbfɹɔf
fefpɢubsɛɹk	fefpgʊbtɛɹk
βoɹlxɛlβok	boɹlkɛlbok
xifnɹuɹslel	kifnɹuɹslel
gɹubbɹetfɹok	gɹubbɹetfɹog
ɸulgɹuɹdsɹɛɹt	pulgɹʊɹtsɹɛɹd
gɹifpɸɹiglɹen	gɹɪfpfɹɪglɹen
nɹeɹβogzik	nɹeɹbogdɪk
lɔfpsnɛɹdbɹæɹn	lɔfpsnɛɹdbɹaɹn
lɛɹblɔtzeɹt	lɛɹblɔtdeɹd
ɣensnɹɛdtsɔl	gensnɹɛdtsɔl
lɔplɔɹbsiɹ	lɔplɔɹbtiɹ
nɹɔfpsɹuŋɢu	nɹɔfpsɹungu
bɹuɹdgɹisɹɛt	bɹʊɹtkɹɪsɹɛd
lɹiɹgtsiɹdxɛɹl	lɹiɹktsiɹtkɛɹl
dɹefɣedfɛt	tɹefgedfɛt
neɹnsuklot	neɹntuklot
sɔpɸuksnuɹt	sɔpfuksnuɹd
sɹuɹgfinsgɹæf	sɹʊɹgfɪnskɹaf
fɹuɹglefnɹɔɹf	fɹʊɹklefnɹɔɹf
nɹusfɹisxek	nɹusfɹɪskek
bɹɛnufβœfp	bɹɛnʊfbɛfp
fæɹbsɛɹbqoɹk	faɹbtɛɹbkoɹk
sifpgɹissut	tɪfpkɹistud
fiɹsβœɹfbɹiɹf	fɪɹsbɛɹfbɹiɹf
bɹɛɹlɣiβot	pɹɛɹlgɪbot
kæɹssilnɹip	kaɹssilnɹɪb
bɹiɹbdɹænssnɛn	bɹiɹbtɹanssnɛn
noɹssɔɹdbɹup	noɹstɔɹdpɹʊp
dɹuɹdsnufgɹɔɹ	dɹuɹtsnʊfkɹɔɹ
ɹuɹsdɹoɹfgɹoɹs	ɹʊɹstɹoɹfgɹoɹs
pɸuɹgbɹiɹblɹof	pfʊɹkbɹɪɹplɹof
ɸœɹsfɹiɹbgɹok	pɛɹsfɹiɹbkɹok
sɛɹbxiɹsdɹul	sɛɹpkɪɹstɹʊl
tsikdædquɹs	tsikdadkʊɹs
βɶpɣɛɹbɹɛp	bapgɛɹbɹɛb
βiɹsdɹuɹdɹifp	biɹsdɹʊɹtɹɪfp
tsɛɹgdɹɛklɹæɹp	tsɛɹgdɹɛklɹaɹb
sulgɹibbɹeɹt	tʊlgɹibpɹeɹt
fuɹsuɹfnɔt	fʊɹsʊɹfnɔt
βiddɹuɹdsɔp	biddɹuɹtsɔb
fɹɔffɹuɹŋgɹɔst	fɹɔffɹʊɹngɹɔst
lɹæbsnoɹntsæt	lɹabsnoɹntsad
tædsɹɔlsuns	tadsɹɔlsuns
nɹefpseɹsbyɹk	nɹefpseɹsbɪɹg
βoɹfsɹuɹstsoɹs	boɹfsɹʊɹstsoɹs
bɹɛstsufbɹiɹf	bɹɛsttʊfpɹiɹf
sɹɛnslolsɹuɹk	sɹɛnslolsɹʊɹg
kæɹdsænsdɹip	kaɹtsansdɹip
fɹæsnufpsɹufp	fɹasnufpsɹufp
bɹɛɹlɢugɹɛɹk	bɹɛɹlgugɹɛɹg
læɹbɣiɹzeɹn	laɹpgɪɹteɹn
ludgɹæfɸu	lʊdgɹafpʊ
lɹiɹbdɹɔsttæɹk	lɹɪɹptɹɔsttaɹk
nɹeɹbnikβœk	nɹeɹbnɪkbɛg
feɹgɹɔɹβos	feɹkɹɔɹpos
sɹɔpsnitɣil	sɹɔpsnɪtgil
snuɹfsitdɹuɹt	snʊɹftittɹʊɹd
ɹeɹlɹɛgzen	ɹeɹlɹɛgden
sompɸiɹgdɹɛns	sonpfɪɹkdɹɛns
ɢɔɹnzoɹbbɹɛɹp	gɔɹndoɹpbɹɛɹb
lɹæɹbbɹɔfbɹek	lɹaɹpbɹɔfbɹek
ulpɸiɹgquɹt	ulpfɪɹgkuɹt
gɹunæɹnsɔɹf	gɹʊnaɹntɔɹf
fikdɹeɹslɹɛɹn	fiktɹeɹslɹɛɹn
sændɹestnɹik	sandɹestnɹɪg
fɹɛdnupyɹf	fɹɛdnʊpɪɹf
dɹɛstsɹɛɹdbɹon	dɹɛstsɹɛɹdpɹon
bɹubbykɣist	pɹubbɪkgɪst
fɹɛtgɹonsut	fɹɛtgɹonsʊt
fæɹzɛfpɸɹut	faɹdɛfpfɹʊt
siɹnɹiɹbɹuɹt	tɪɹnɹɪɹpɹuɹt
soffɹɔfpyns	soffɹɔfpɪns
dɹoddɹɛstbɹis	dɹoddɹɛstbɹis
sopnuɹnzɔk	sopnuɹndɔg
ɹogɢuɹfxin	ɹogguɹfkin
nækβustlɹon	nakbʊstlɹon
sɔgɹoɹlβɶɹt	sɔgɹoɹlbaɹt
bɹɛfsɔstbɹot	pɹɛftɔstbɹot
pɸensgɹonsɢuk	pfenskɹonsgʊg
finliɹlɹok	finlɪɹlɹog
gɹisfɹeɹsfufp	gɹɪsfɹeɹsfʊfp
næfpbɹuɹlbyk	nafppɹʊɹlbɪg
xifpnɹɛɹflɹiɹp	kifpnɹɛɹflɹiɹp
dɹuɹbsnostfɹɛɹt	tɹʊɹbsnostfɹɛɹd
bɹoɹlbɹuttsul	pɹoɹlpɹuttsul
ziɹsbɹæɹslɹup	dɪɹsbɹaɹslɹub
snuɹbbɹuglæs	snʊɹppɹuglas
letbyfpgɹoɹ	letbɪfpkɹoɹ
dɹiɹgbɹuɹgqɔp	dɹiɹgpɹʊɹkkɔb
xisbyslɔp	kɪsbɪslɔb
sniklɛdquɹ	snɪklɛdkʊɹ
gɹɔstdɹeɹbβœn	gɹɔstdɹeɹbbɛn
xɛpxefsnuɹ	kɛpkefsnʊɹ
pɸestfɹupxɛ	pfestfɹupkɛ
lɹifβɶɹgxifp	lɹɪfbaɹkkifp
tsiglegɹɔɹp	tsɪglegɹɔɹb
dɹunsiblus	tɹunsɪblʊs
sɹoksɛlβiɹn	sɹoktɛlbiɹn
ɹobsnuɹdsnuk	ɹobsnʊɹtsnug
gɹulsneɹmpɸil	kɹulsneɹnpfil
nɔɹssɹæstsins	nɔɹssɹasttins
qɔɹbkæɹbsɹɔɹt	kɔɹpkaɹbsɹɔɹt
fɔɹdnɹuɹnɹuns	fɔɹtnɹuɹnɹuns
dɹiɹndɹɔɹndɹɛn	tɹɪɹndɹɔɹntɹɛn
nopɸɹiplit	nopfɹiplɪt
dɹɔɹgdɹɔɹgfɹoɹl	tɹɔɹgdɹɔɹkfɹoɹl
fɹiɹzeɹlpɸo	fɹiɹdeɹlpfo
nɹostzɔɹβœt	nɹostdɔɹpɛt
lɔdqoffɹuɹs	lɔdkoffɹuɹs
qoɹdlɔstnɹoɹk	koɹdlɔstnɹoɹk
fɹusɢoɹbɹɛfp	fɹʊsgoɹbɹɛfp
fuɹdbɹɔpnoɹt	fuɹtpɹɔpnoɹt
snɛɹddɹɛɹbbɹons	snɛɹddɹɛɹppɹons
supquɹdnifp	sʊpkʊɹdnifp
bɹitæɹbquf	bɹitaɹbkuf
nɹiɹdɹiɹspɸæt	nɹɪɹdɹiɹspfad
nɹinsgɹɔkɣiɹs	nɹɪnskɹɔkgiɹs
lilgɹɛkzons	lilgɹɛkdons
lɹiɹfɹunæɹt	lɹiɹfɹunaɹt
bɹænsfɛɹbβœɹn	bɹansfɛɹbbɛɹn
dɹistdɹiknɹɛɹt	dɹɪsttɹɪknɹɛɹt
dɹiɹbβiɹspɸɛt	dɹiɹpbiɹspfɛd
oɹbtsɔnnæp	oɹptsɔnnab
bɹuɹbfugnɹɛɹl	bɹʊɹpfugnɹɛɹl
bɹufpbɹæpɸoɹt	pɹʊfppɹapfoɹd
fɛsusdɹæp	fɛsʊstɹab
nɹæbsɹustgɹu	nɹabsɹustgɹu
gɹukdɹɔɹfdɹæn	gɹuktɹɔɹftɹan
gɹuɹbsninsnɛt	gɹʊɹbsninsnɛt
nuɹgsɹoɹfpɸof	nʊɹgsɹoɹfpfof
gɹoɹbfɹenssɛp	gɹoɹpfɹenssɛb
eɹbseɹgsiɹt	eɹbteɹgsɪɹd
nindɹɛnsbɹiɹp	nɪndɹɛnspɹɪɹp
ɸøɹbpɸuɹbtsuf	peɹppfuɹbtsʊf
dɹiɹbβutsoɹp	dɹɪɹpbʊtsoɹb
bɹuɹgnɛɹbgɹɛfp	pɹuɹgnɛɹbgɹɛfp
nɹitɢoɹŋɢuf	nɹitgoɹnguf
snissnɛɹspɸin	snɪssnɛɹspfɪn
tsifzusxik	tsifduskɪk
siɹffɹælbɹens	tiɹffɹalpɹens
xeŋɢonsɹins	kengonsɹins
dɹopsɹæsgɹeɹp	tɹopsɹaskɹeɹp
bɹoɸusfæs	bɹopʊsfas
tsogfuntsɛst	tsogfʊntsɛst
sɛɹsɣisnɹi	sɛɹsgɪsnɹɪ
snɔɹbɣedsɹɛɹk	snɔɹbgedsɹɛɹg
ɹuɹfsɹoɹftsuɹp	ɹuɹfsɹoɹftsʊɹp
bɹæɹblɹuɱfɹɔɹp	pɹaɹplɹunfɹɔɹb
siɹbtsɛɹbɹuf	tɪɹbtsɛɹpɹʊf
ɢuɹnɹistæp	guɹnɹistab
gɹællɔtgɹɔɹs	gɹallɔtgɹɔɹs
lɹelnænsgɹes	lɹelnansgɹes
nɹɛfpsnɔgsnek	nɹɛfpsnɔgsneg
βibβofbɹuɹk	bibbofbɹuɹk
byɹgfɛɹsgɹu	bɪɹkfɛɹskɹʊ
ɢufnɹiblit	gufnɹiblɪt
gɹætsuɹlsɹofp	gɹatsʊɹlsɹofp
snɔquŋgɹefp	snɔkungɹefp
sneɹlæziɹp	sneɹladɪɹb
neɹffɹætfɹɔt	neɹffɹatfɹɔd
sæstsefne	sasttefne
lɹiɹsgɹibtsɛp	lɹiɹskɹibtsɛb
sæddɹeɹdβuɹk	saddɹeɹdbuɹk
ɢɔpɸɛdfɹɔɹt	gɔpfɛdfɹɔɹd
bɹusgɹoɹbβuns	pɹʊsgɹoɹbbʊns
nɹɔɹbβustbɹɔp	nɹɔɹbbʊstpɹɔb
fɹiɹlɹistdɹæk	fɹiɹlɹistdɹak
fɹɔgfɹustdɹet	fɹɔgfɹʊstdɹed
zɛfpdɹudqɔp	dɛfptɹʊdkɔp
gɹiɹdgɹufbɹet	kɹɪɹtgɹufpɹed
lɹuɹfiɹdɸik	lɹuɹfiɹtpik
dɹæbɸøpdɹoɹn	tɹabpepdɹoɹn
ɹɛgdɹuɹzo	ɹɛgdɹuɹto
luɹbdɹibdɹɛl	lʊɹbtɹibtɹɛl
seɹdsɔɹgqo	teɹtsɔɹkko
ɸuɹfɸuɹgbɹɔɹs	puɹfpuɹkpɹɔɹs
βiɹbfɹentsoɹp	biɹbfɹentsoɹb
aɹflɛɹsdɹuɹk	aɹflɛɹsdɹuɹk
zuɹbfɹɔsfɛt	duɹpfɹɔsfɛd
sofpβɶflɹɛp	sofpbaflɹɛp
zupnɛbɹɛɹk	dʊpnɛpɹɛɹk
fɹoɹblækzɔns	fɹoɹplakdɔns
lulsusttsɔɹf	lultʊsttsɔɹf
lɛɹgfufpxɛɹl	lɛɹgfʊfpkɛɹl
zofɛɹluɹk	dofɛɹluɹg
zɛssɹostzɛfp	dɛssɹostdɛfp
gɹuɹfqubsnɔɹn	kɹʊɹfkubsnɔɹn
zoslɹuɹbfɹɔɹl	doslɹuɹbfɹɔɹl
bɹompɸulson	pɹonpfulton
zɛsgɹufpyn	dɛsgɹʊfpɪn
gɹidnɹifos	gɹidnɹifos
fɹunsɛɹβuɹk	fɹʊnsɛɹbuɹg
fɹussuɹbgɹuɹf	fɹussʊɹbgɹʊɹf
bɹɔŋgɹuɹlpyɹt	bɹɔngɹuɹlpɪɹd
liɹbnɹuɹfɹæns	liɹbnɹuɹfɹans
dɹisgɹɔnsik	dɹɪsgɹɔntɪg
pɸiɹblæfptsut	pfiɹblafptsud
gɹuɹsfɹæstβut	gɹʊɹsfɹastbʊd
ɛɹlxekkæɹp	ɛɹlkekkaɹp
dɹɛkɸɔstbɹiɹ	tɹɛkpɔstpɹɪɹ
sæɹlsepsɛt	saɹlteptɛd
sɹɛɹslɹuɹsdɹik	sɹɛɹslɹʊɹstɹik
zegsɹɔtdɹoɹp	degsɹɔttɹoɹp
pɸɛɹzulsu	pfɛɹdultʊ
ɢɔɹgɹessnæt	gɔɹgɹessnad
dɹunsɹɔkfun	dɹunsɹɔkfun
nuggɹæflɹæɹn	nʊgkɹaflɹaɹn
bɹiɹdfoɹbgɹiɹn	bɹɪɹdfoɹbkɹiɹn
liɹbfɹæɹfbɹik	lɪɹbfɹaɹfbɹik
nɹeksibset	nɹeksibted
lɹinsdɹifpɸɛk	lɹɪnstɹifpfɛg
dɹæɹbnɹisbɹons	tɹaɹpnɹisbɹons
βufpɸotsɔɹn	bʊfpfotsɔɹn
nɹuɹnsɔɹdgɹiɹ	nɹuɹntɔɹdkɹiɹ
feblɹoɹbliɹk	feblɹoɹpliɹk
nɛɹdlɹisgɹɔf	nɛɹdlɹɪskɹɔf
pɸeɹblɔɹzuɹl	pfeɹblɔɹtuɹl
sɹibbɹubbɹek	sɹɪbbɹubpɹeg
nebsɔɹdɢuɹt	nebtɔɹdguɹd
ɸoslɹiɹgbɹins	poslɹiɹgbɹins
dɹinsɹɛɹdlif	tɹinsɹɛɹtlif
lænssɛɹndɹæl	lanstɛɹndɹal
sɹɛnsgɹuɹblæɹt	sɹɛnskɹʊɹplaɹt
ɣiɹdfesɹɔt	gɪɹdfesɹɔd
ɹiɹglɹɛɹnnuns	ɹɪɹglɹɛɹnnuns
gɹeɹnlɹiɹgbɹuɹn	kɹeɹnlɹɪɹgbɹuɹn
bɹɔɹbgɹɔɹbsɹiɹf	bɹɔɹbgɹɔɹbsɹɪɹf
gɹægɹɔɹssiɹn	gɹagɹɔɹstiɹn
bɹɛɹgpytsofp	bɹɛɹkpɪttofp
iɹfnɛɹsbɹeɹk	ɪɹfnɛɹspɹeɹg
fɹɛɹdnɹɔɹgnef	fɹɛɹtnɹɔɹgnef
sɹiɹɢuɹgɹet	sɹɪɹkʊɹgɹed
pɸeɹgniptsɛns	pfeɹknɪptsɛns
ɢofpɸɹiɹdbɹest	gofpfɹɪɹtpɹest
ɹefdɹɔfpβifp	ɹeftɹɔfpbifp
ɸɔpɸoɹbsus	pɔppoɹptʊs
lustsistæɹp	lʊstsistaɹb
ɹodfoɹlgɹit	ɹodfoɹlgɹɪd
suflufbɹæɹl	tuflufbɹaɹl
bɹeɹbfæɹlbɹɔɹs	bɹeɹpfaɹlpɹɔɹs
siɹsdɹeɹdɢut	siɹstɹeɹdgud
tsuɹβøpbɹik	tsuɹbepbɹig
sɔɹbɹeɹbbɹil	tɔɹpɹeɹpbɹɪl
dɹæɹlfiɹsdɹɔɹt	dɹaɹlfiɹstɹɔɹt
bɹiɹssuɹgsɹu	pɹiɹstuɹksɹʊ
fɹeɹdlɹeɹdɣeɹf	fɹeɹtlɹeɹtgeɹf
bɹuɹglɹidbɹoɹf	pɹuɹklɹidpɹoɹf
dɹufæɹgβop	tɹufaɹkbop
lustɸøɹgzut	lʊstpeɹkdud
fɹuɹbpɸuɹgɣeɹk	fɹʊɹppfʊɹggeɹk
suqukbɹik	tʊkukbɹik
bɹæpɸɶkquɹt	pɹappakkʊɹd
βuɹmbɹistgɹek	buɹnpɹistkɹek
fɹeɹdliɹlsɔɹk	fɹeɹtlɪɹltɔɹk
ɔfbɹoɹfsuɹf	ɔfpɹoɹftʊɹf
suɹdbɹæɹggɹiɹf	suɹtbɹaɹggɹɪɹf
ɸœɹssæffæɹl	pɛɹssaffaɹl
ɹuɹgβuɹgsnip	ɹʊɹkbuɹksnip
ɢɔɹgsnustæt	gɔɹgsnʊstad
ziɹbsnɔdsi	diɹpsnɔdsi
sɹænsɸøɹsgɹup	sɹanspeɹsgɹub
bɹozɛɹdβøɹk	bɹodɛɹdbeɹg
zofpdɹuɹdfæp	dofpdɹʊɹdfab
zuptsestzuns	duptsestdʊns
ɢɔtdɹɔklip	gɔtdɹɔklip
ɹitsniɹgdɹɔp	ɹitsniɹktɹɔp
ɹæɹdɢuɹdpɸɛf	ɹaɹtgʊɹtpfɛf
ɸiɹlbɹudsuɹl	piɹlpɹʊdsʊɹl
tsɔɹfdɹubtæk	tsɔɹfdɹʊbtag
snuɹbgɹinspɸuɹk	snuɹpgɹinspfʊɹg
gɹuɹbdɹundɹæɹn	kɹʊɹptɹundɹaɹn
gɹuɹsbɹunlɹiɹk	kɹʊɹspɹʊnlɹiɹk
ɸɔɹfɹinsbɹɔɹt	pɔɹfɹɪnsbɹɔɹd
zupɢɔɹfnɹɔp	dupgɔɹfnɹɔb
lɹoɹdnottsiɹp	lɹoɹdnottsiɹb
idtsɔɹbsoɹf	ɪdtsɔɹbtoɹf
bɹuɹgdɹeɹbdɹil	pɹuɹkdɹeɹptɹil
pɸɔɹɣɛlsnɔɹk	pfɔɹgɛlsnɔɹg
gɹoɹddɹipɸuɹt	gɹoɹttɹipfʊɹd
ɹænsiɹɹɔɹp	ɹansɪɹɹɔɹb
βøɹlgɹidzens	beɹlgɹiddens
lɹɔɹbfɛgsiɹf	lɹɔɹpfɛgtɪɹf
zuɹbtsuɹdɹik	dʊɹbtsuɹtɹig
fæɹflɹennɹoɹn	faɹflɹennɹoɹn
tsɔmβugpɸæns	tsɔnbʊgpfans
pɸeɹblɹoɹbfɹɔɹk	pfeɹblɹoɹpfɹɔɹk
dɹɛstdɹiɹbtsɔfp	dɹɛsttɹiɹptsɔfp
gɹɔɹdgɹiɹdfɹifp	gɹɔɹdgɹɪɹtfɹɪfp
dɹetɣeɹnzɔɹp	tɹetgeɹndɔɹb
pɸidfɛnɹɔɹf	pfɪdfɛnɹɔɹf
fiɹbdɹiɹsnoɹp	fɪɹbtɹɪɹsnoɹp
gɹoɹdgɹumbɹon	kɹoɹdgɹʊnbɹon
sɹifsɛnstsæɹ	sɹɪfsɛnstsaɹ
fiɹfɣedbɹeɹk	fɪɹfgedbɹeɹg
siɹntsuppɸuɹt	tɪɹntsʊppfʊɹt
sulpɸuɹgfɹæk	tulpfʊɹkfɹak
fiɹfokxif	fiɹfokkif
bɹiɹzodloɹk	pɹiɹdodloɹk
sisdɹɔɹβɔst	tistɹɔɹbɔst
ɣelsuɹdɸoɹl	geltʊɹdpoɹl
suɸustsɹɔɹt	supʊstsɹɔɹt
tseɹbnɔbzoɹt	tseɹpnɔbdoɹt
lɹifptsuɹfɹep	lɹifptsʊɹfɹep
ɸøɹβɶɹbɹul	peɹpaɹbɹul
xiɹgnɹɔfpbɹeɹs	kɪɹgnɹɔfppɹeɹs
lebɹubɹuɹt	lepɹupɹʊɹd
dɹedsoɹfbyɹl	tɹedsoɹfbɪɹl
gɹuɹldɹoɹgsiɹl	kɹʊɹltɹoɹksɪɹl
ɸumɸiɹblɹuɹp	pʊnpiɹplɹuɹb
ɣikpɸæptæl	gikpfaptal
fustniɹbfɹɔɹn	fustnɪɹbfɹɔɹn
ɸugsɹilut	pugsɹɪlʊd
sɹɛɹdɹiɹgɹist	sɹɛɹdɹiɹgɹɪst
lɹudɹitsnup	lɹudɹɪtsnʊb
βødfoɹbɹɛn	bedfoɹbɹɛn
niltsetzuɹ	nɪltsetdʊɹ
nɹɛɹdɣeɹbdɹɛɹn	nɹɛɹdgeɹbdɹɛɹn
tsɛlɹɔɹgsnæɹk	tsɛlɹɔɹksnaɹg
oktægβut	oktagbut
nistdɹɛlbɹof	nɪstdɹɛlbɹof
dɹefbɹiɹdɹɔɹk	tɹefpɹiɹtɹɔɹk
βøɹflɹiɹgpɸuɹn	beɹflɹɪɹgpfʊɹn
sɔlbɹusgɹiɹl	sɔlbɹusgɹiɹl
gɹodxinsiɹk	gɹodkɪnsɪɹk
ɸugɸœɹbɢuɹk	pugpɛɹbguɹg
sidɸufpbɹuɹt	sidpʊfppɹʊɹd
ɹeɹlnɹupdɹoɹp	ɹeɹlnɹupdɹoɹp
qɔgzofquns	kɔgdofkʊns
snɛgnɹofzɛɹn	snɛgnɹofdɛɹn
nɹæɹgβoɹbnɹɛɹf	nɹaɹgboɹbnɹɛɹf
βœɹbbɹiɹbdɹɛɹ	bɛɹppɹiɹpdɹɛɹ
tsæbpypɸɹæɹt	tsabpɪpfɹaɹd
fɹubdægfɔk	fɹubdagfɔk
fɛɹgbɹeɹgtsok	fɛɹgpɹeɹgtsok
